sentence_id,domain_category,english_text,sesotho_text
2201,Medication Instructions,Seek medical attention if you develop signs of a blood clot such as leg swelling.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa ho tšoaroa ha mali joalo ka ho ruruha ha leoto.
2202,Medication Instructions,This medicine may cause a decrease in platelets; report unusual bleeding.,Moriana ona o ka baka ho fokotseha ha li-platelet; bua ho tsoa mali ho sa tloaelehang.
2203,Medication Instructions,Contact your doctor if you develop eye pain or redness while taking this medicine.,Ikopanye le ngaka ea hau haeba u ba le mahloko a mahlo kapa ho bofubedu ha u nka moriana ona.
2204,Medication Instructions,This medicine may cause hot flushes; inform your doctor if they are bothersome.,Moriana ona o ka baka ho chesa ha 'mele; tsebisa ngaka ea hau haeba e ba bothata.
2205,Medication Instructions,Seek medical help if you develop a high fever with stiff neck and headache.,Batla thuso ea ngaka haeba u ba le feberu e phahameng le molala o thatafetseng le mahloko a hlooho.
2206,Medication Instructions,This medicine may cause increased sensitivity to pain.,Moriana ona o ka baka ho amehela haholo mahlokong.
2207,Medication Instructions,Contact your doctor if you develop tremors or shaking while taking this medicine.,Ikopanye le ngaka ea hau haeba u ba le ho thothomela kapa ho thothomela ha u nka moriana ona.
2208,Medication Instructions,This medicine may cause a decrease in red blood cells; report fatigue or pallor.,Moriana ona o ka baka ho fokotseha ha lisele tsa mali tse khubelu; bua ho lapala kapa ho pheela.
2209,Medication Instructions,Seek medical attention if you develop signs of pancreatitis such as severe abdominal pain.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa pancreatitis joalo ka mahloko a matla a mpa.
2210,Medication Instructions,This medicine may cause increased appetite; monitor your food intake.,Moriana ona o ka baka ho eketseha ha takatso ea lijo; hlahloja ho ja ha hau.
2211,Medication Instructions,Contact your doctor if you develop difficulty urinating while taking this medicine.,Ikopanye le ngaka ea hau haeba u ba le bothata ba ho morota ha u nka moriana ona.
2212,Medication Instructions,This medicine may cause a bitter taste in the mouth.,Moriana ona o ka baka tatso e bohloela molomong.
2213,Medication Instructions,Seek medical help if you develop severe dizziness or loss of balance.,Batla thuso ea ngaka haeba u ba le ho potoloha ho matla kapa ho lahleheloa ke tekanyo.
2214,Medication Instructions,This medicine may cause increased heart rate; inform your doctor if it is persistent.,Moriana ona o ka baka ho eketseha ha lebelo la pelo; tsebisa ngaka ea hau haeba ho tsoela pele.
2215,Medication Instructions,Contact your doctor if you develop confusion or disorientation while taking this medicine.,Ikopanye le ngaka ea hau haeba u ba le tsieleho kapa ho lahlehela ha u nka moriana ona.
2216,Medication Instructions,This medicine may cause a decrease in bone density with long-term use.,Moriana ona o ka baka ho fokotseha ha bongata ba masapo ka tšebediso ea nako e telele.
2217,Medication Instructions,Seek medical attention if you develop signs of an electrolyte imbalance.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa ho se lekane ha electrolyte.
2218,Medication Instructions,This medicine may cause increased sensitivity of the skin to touch.,Moriana ona o ka baka ho amehela haholo ha letlalo ho ama.
2219,Medication Instructions,Contact your doctor if you develop persistent hiccups while taking this medicine.,Ikopanye le ngaka ea hau haeba u ba le ho hekela ho tsoelang pele ha u nka moriana ona.
2220,Medication Instructions,This medicine may cause a decrease in libido; inform your doctor.,Moriana ona o ka baka ho fokotseha ha takatso ea thobalano; tsebisa ngaka ea hau.
2221,Medication Instructions,Seek medical help if you develop signs of a serious skin reaction.,Batla thuso ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea letlalo.
2222,Medication Instructions,This medicine may cause increased production of saliva.,Moriana ona o ka baka ho eketseha ha tlhahiso ea mathe.
2223,Medication Instructions,Contact your doctor if you develop a persistent fever while taking this medicine.,Ikopanye le ngaka ea hau haeba u ba le feberu e tsoelang pele ha u nka moriana ona.
2224,Medication Instructions,This medicine may cause a decrease in blood sodium levels.,Moriana ona o ka baka ho fokotseha ha maemo a sodium ea mali.
2225,Medication Instructions,Seek medical attention if you develop signs of thyroid problems.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa mathata a thyroid.
2226,Medication Instructions,This medicine may cause increased sensitivity to allergens.,Moriana ona o ka baka ho amehela haholo ho li-allergen.
2227,Medication Instructions,Contact your doctor if you develop a persistent dry cough.,Ikopanye le ngaka ea hau haeba u ba le ho kohoa ho omileng ho tsoelang pele.
2228,Medication Instructions,This medicine may cause a decrease in potassium levels; eat potassium-rich foods.,Moriana ona o ka baka ho fokotseha ha maemo a potassium; ja lijo tse nang le potassium e ngata.
2229,Medication Instructions,Seek medical help if you develop signs of adrenal insufficiency.,Batla thuso ea ngaka haeba u ba le lišoaetso tsa ho hloka tšebetso ea li-adrenal.
2230,Medication Instructions,This medicine may cause increased production of urine at night.,Moriana ona o ka baka ho eketseha ha tlhahiso ea moroto bosiu.
2231,Medication Instructions,Contact your doctor if you develop a persistent skin rash.,Ikopanye le ngaka ea hau haeba u ba le ho ruruha ha letlalo ho tsoelang pele.
2232,Medication Instructions,This medicine may cause a decrease in calcium levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a calcium ka tšebediso ea nako e telele.
2233,Medication Instructions,Seek medical attention if you develop signs of a severe allergic reaction.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea ho amehela.
2234,Medication Instructions,This medicine may cause increased sensitivity to sunlight on the skin.,Moriana ona o ka baka ho amehela haholo ha letlalo leseding la letsatsi.
2235,Medication Instructions,Contact your doctor if you develop a persistent headache while taking this medicine.,Ikopanye le ngaka ea hau haeba u ba le mahloko a hlooho a tsoelang pele ha u nka moriana ona.
2236,Medication Instructions,This medicine may cause a decrease in magnesium levels.,Moriana ona o ka baka ho fokotseha ha maemo a magnesium.
2237,Medication Instructions,Seek medical help if you develop signs of a serious infection.,Batla thuso ea ngaka haeba u ba le lišoaetso tsa tšoaetso e matla.
2238,Medication Instructions,This medicine may cause increased production of stomach acid.,Moriana ona o ka baka ho eketseha ha tlhahiso ea asiti ea mala.
2239,Medication Instructions,Contact your doctor if you develop a persistent cough with blood.,Ikopanye le ngaka ea hau haeba u ba le ho kohoa ho tsoelang pele le mali.
2240,Medication Instructions,This medicine may cause a decrease in zinc levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a zinc ka tšebediso ea nako e telele.
2241,Medication Instructions,Seek medical attention if you develop signs of a serious liver reaction.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea sebete.
2242,Medication Instructions,This medicine may cause increased sensitivity to cold and heat.,Moriana ona o ka baka ho amehela haholo mochesong o bata le o chesang.
2243,Medication Instructions,Contact your doctor if you develop a persistent fever with rash.,Ikopanye le ngaka ea hau haeba u ba le feberu e tsoelang pele le ho ruruha ha letlalo.
2244,Medication Instructions,This medicine may cause a decrease in folate levels; take a supplement if advised.,Moriana ona o ka baka ho fokotseha ha maemo a folate; nka sesebelisoa haeba ho laetsoe.
2245,Medication Instructions,Seek medical help if you develop signs of a serious kidney reaction.,Batla thuso ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea lipitso.
2246,Medication Instructions,This medicine may cause increased production of mucus in the airways.,Moriana ona o ka baka ho eketseha ha tlhahiso ea mucus meeling ea moea.
2247,Medication Instructions,Contact your doctor if you develop a persistent pain in the abdomen.,Ikopanye le ngaka ea hau haeba u ba le mahloko a tsoelang pele mpeng.
2248,Medication Instructions,This medicine may cause a decrease in vitamin B12 levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a vitamin B12 ka tšebediso ea nako e telele.
2249,Medication Instructions,Seek medical attention if you develop signs of a serious heart reaction.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea pelo.
2250,Medication Instructions,This medicine may cause increased sensitivity to medications.,Moriana ona o ka baka ho amehela haholo ho meriana.
2251,Medication Instructions,Contact your doctor if you develop a persistent swelling in the body.,Ikopanye le ngaka ea hau haeba u ba le ho ruruha ho tsoelang pele 'meleng.
2252,Medication Instructions,This medicine may cause a decrease in iron levels; take a supplement if advised.,Moriana ona o ka baka ho fokotseha ha maemo a tšepe; nka sesebelisoa haeba ho laetsoe.
2253,Medication Instructions,Seek medical help if you develop signs of a serious lung reaction.,Batla thuso ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea matšoafo.
2254,Medication Instructions,This medicine may cause increased production of bile.,Moriana ona o ka baka ho eketseha ha tlhahiso ea bile.
2255,Medication Instructions,Contact your doctor if you develop a persistent numbness in the body.,Ikopanye le ngaka ea hau haeba u ba le ho fofa ho tsoelang pele 'meleng.
2256,Medication Instructions,This medicine may cause a decrease in vitamin D levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a vitamin D ka tšebediso ea nako e telele.
2257,Medication Instructions,Seek medical attention if you develop signs of a serious blood reaction.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea mali.
2258,Medication Instructions,This medicine may cause increased sensitivity to light in the eyes.,Moriana ona o ka baka ho amehela haholo ha mahlo leseding.
2259,Medication Instructions,Contact your doctor if you develop a persistent weakness in the body.,Ikopanye le ngaka ea hau haeba u ba le ho fokotsehela ho tsoelang pele 'meleng.
2260,Medication Instructions,This medicine may cause a decrease in copper levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a copper ka tšebediso ea nako e telele.
2261,Medication Instructions,Seek medical help if you develop signs of a serious skin infection.,Batla thuso ea ngaka haeba u ba le lišoaetso tsa tšoaetso e matla ea letlalo.
2262,Medication Instructions,This medicine may cause increased production of hormones.,Moriana ona o ka baka ho eketseha ha tlhahiso ea li-hormone.
2263,Medication Instructions,Contact your doctor if you develop a persistent tingling in the body.,Ikopanye le ngaka ea hau haeba u ba le ho hlohlona ho tsoelang pele 'meleng.
2264,Medication Instructions,This medicine may cause a decrease in selenium levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a selenium ka tšebediso ea nako e telele.
2265,Medication Instructions,Seek medical attention if you develop signs of a serious nerve reaction.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea methapo.
2266,Medication Instructions,This medicine may cause increased sensitivity to medications taken together.,Moriana ona o ka baka ho amehela haholo ho meriana e nkuoang hammoho.
2267,Medication Instructions,Contact your doctor if you develop a persistent burning sensation in the body.,Ikopanye le ngaka ea hau haeba u ba le maikutlo a ho chesa a tsoelang pele 'meleng.
2268,Medication Instructions,This medicine may cause a decrease in chromium levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a chromium ka tšebediso ea nako e telele.
2269,Medication Instructions,Seek medical help if you develop signs of a serious eye reaction.,Batla thuso ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea mahlo.
2270,Medication Instructions,This medicine may cause increased production of enzymes in the liver.,Moriana ona o ka baka ho eketseha ha tlhahiso ea li-enzyme sebeteng.
2271,Medication Instructions,Contact your doctor if you develop a persistent itching sensation in the body.,Ikopanye le ngaka ea hau haeba u ba le maikutlo a ho hlohlona a tsoelang pele 'meleng.
2272,Medication Instructions,This medicine may cause a decrease in manganese levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a manganese ka tšebediso ea nako e telele.
2273,Medication Instructions,Seek medical attention if you develop signs of a serious ear reaction.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea tsebe.
2274,Medication Instructions,This medicine may cause increased sensitivity to environmental allergens.,Moriana ona o ka baka ho amehela haholo ho li-allergen tsa tikoloho.
2275,Medication Instructions,Contact your doctor if you develop a persistent redness in the body.,Ikopanye le ngaka ea hau haeba u ba le ho bofubedu ho tsoelang pele 'meleng.
2276,Medication Instructions,This medicine may cause a decrease in molybdenum levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a molybdenum ka tšebediso ea nako e telele.
2277,Medication Instructions,Seek medical help if you develop signs of a serious joint reaction.,Batla thuso ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea maqhoa.
2278,Medication Instructions,This medicine may cause increased production of white blood cells.,Moriana ona o ka baka ho eketseha ha tlhahiso ea lisele tsa mali tse tšoeu.
2279,Medication Instructions,Contact your doctor if you develop a persistent swelling of the lymph nodes.,Ikopanye le ngaka ea hau haeba u ba le ho ruruha ho tsoelang pele ha li-lymph node.
2280,Medication Instructions,This medicine may cause a decrease in iodine levels with long-term use.,Moriana ona o ka baka ho fokotseha ha maemo a iodine ka tšebediso ea nako e telele.
2281,Medication Instructions,Seek medical attention if you develop signs of a serious muscle reaction.,Batla tlhokomelo ea ngaka haeba u ba le lišoaetso tsa karabelo e matla ea mochine.
2282,Medication Instructions,This medicine may cause increased sensitivity to physical activity.,Moriana ona o ka baka ho amehela haholo mesebetsing ea 'mele.
