sentence_id,domain_category,english_text,sesotho_text,source,source_reference,translator_code,reviewer_status,notes
4228,Maternal and Child Health,My child was diagnosed with febrile convulsions.,Ngoana oa ka o hlahlojoe ka ho thothomela ha feberu.,WHO,maternal-child-health-v1,,reviewed,
4677,General Patient Education,Seek emergency care immediately if you experience chest pain.,Batla tlhokomelo ea tšohanyetso hang hang haeba o ikutloa mahloko a sefuba.,WHO,general-patient-education-v1,,reviewed,
801,HIV,My doctor changed my HIV medicine and I want to know why.,Ngaka ea ka e fetohile meriana ea HIV ea ka mme ke batla ho tseba hobaneng.,clinical_fieldwork,patient-art-switch,,reviewed,
3672,Appointments and Follow-Up,The doctor asked if I have been experiencing any pain.,Ngaka e botšitse haeba ke na le mahloko afe kafe.,WHO,appointments-followup-v1,,reviewed,
4194,Maternal and Child Health,My child has been diagnosed with marasmus.,Mwana wa ka o ile a tiegetswe o na marasmus.,WHO,maternal-child-health-v1,,raw,
2969,Symptoms and Complaints,I have pain in my right shoulder that is worse when lifting.,Ke na le mahloko hetleng ea ka ea le letona a mpe ha ke phahamisetsa.,WHO,symptoms-complaints-v1,,reviewed,
4794,General Patient Education,Ask questions until you fully understand your condition and treatment.,Botsa lipotso ho fihlela o utloisisa ka botlalo boemo ba hao le phekolo.,WHO,general-patient-education-v1,,reviewed,
4369,Maternal and Child Health,I was told that family planning information is confidential.,Ke boletsoe hore tlhahisoleseling ea ho rererela lelapa ke sephiri.,WHO,maternal-child-health-v1,,reviewed,
2777,Symptoms and Complaints,I have been feeling very unwell and cannot do anything.,Ke ntse ke ikutloa ke sa phela hantle haholo mme ha ke khone ho etsa letho.,WHO,symptoms-complaints-v1,,reviewed,
2971,Symptoms and Complaints,I have pain in my left shoulder that is worse when reaching.,Ke na le mahloko hetleng ea ka ea molema a mpe ha ke otlolla lephaka.,WHO,symptoms-complaints-v1,,reviewed,
3868,Appointments and Follow-Up,I would like to know about the home delivery of medication.,Ke rata ho tseba ka ho romela moriana lapeng.,WHO,appointments-followup-v1,,reviewed,
1744,Tuberculosis,TB biomarkers in blood could help predict who will develop active disease.,Li-biomarker tsa TB maline li ka thusa ho bolela pele hore na ke mang ea tla ba le bolwetse bo sebetsang.,WHO,tb-biomarkers,,reviewed,
