english,sesotho,source
Take this medication exactly as prescribed by your doctor.,Nka meriana ena hantle feela joalokaha ngaka e u laetse.,back_translation
Do not take more than the recommended dose in 24 hours.,U se ke ua nka tekanyo e fetang e khothalletsoang ka lihora tse 24.,back_translation
Swallow the tablet whole with a full glass of water.,Komela letlapa lohle ka khalase e tletseng metsi.,back_translation
Do not crush or chew extended-release tablets.,U se ke ua silafatsa kapa ua hlafuna lipilisi tse nang le tokollo e eketsehileng.,back_translation
Take this medicine with food to reduce stomach upset.,Nka moriana ona hammoho le lijo ho fokotsa ho teneha ha mpa.,back_translation
Take this medicine on an empty stomach for best absorption.,Nka moriana ona ka mpeng e se nang letho e le hore u o nke hantle.,back_translation
Store this medication at room temperature away from heat and moisture.,"Boloka meriana ena mocheso oa kamore, u se ke ua e fumana mocheso le mongobo.",back_translation
Keep all medications out of reach of children and pets.,Boloka meriana eohle e sa fumanehe ho bana le liphoofolo tse ruuoang lapeng.,back_translation
Do not share your medication with other people.,U se ke ua bolella batho ba bang meriana ea hao.,back_translation
Check the expiry date before taking any medication.,Hlahloba letsatsi la ho felloa ke nako pele u noa meriana leha e le efe.,back_translation
Dispose of expired medications safely at a pharmacy.,Lahla meriana e felletsoeng ke nako ka tsela e sireletsehileng ka lebenkeleng la meriana.,back_translation
Do not flush medications down the toilet unless instructed.,U se ke ua lahlela meriana ea hao ka kamoreng ea ho hlapela ntle le haeba u laetsoe.,back_translation
"If you miss a dose, take it as soon as you remember.","Haeba u hloloheloa tekanyetso, e nke hang ha u hopola.",back_translation
"If it is almost time for your next dose, skip the missed dose.","Haeba e se e le nako ea hore u noe tekanyetso e latelang, u se ke ua noa tekanyetso eo u sa kang ua e noa.",back_translation
Never double your dose to make up for a missed one.,Le ka mohla u se ke ua imetsa tekanyo ea hao ka makhetlo a mabeli e le hore u etse hore e be ea bohlokoa.,back_translation
Tell your doctor about all other medications you are currently taking.,Bolella ngaka ea hao ka meriana eohle eo u e nkang hona joale.,back_translation
Some medications can interact with herbal supplements.,Lithethefatsi tse ling li ka sebelisana le litlama.,back_translation
Alcohol can increase the side effects of some medications.,Joala bo ka eketsa litla-morao tsa meriana e meng.,back_translation
Do not stop taking your medication without consulting your doctor.,U se ke ua khaotsa ho noa meriana ea hao ntle le ho buisana le ngaka ea hao.,back_translation
Stopping antibiotics early can cause the infection to return.,Ho khaotsa ho sebelisa lithibela-mafu kapele ho ka etsa hore tšoaetso e khutlele.,back_translation
Complete the full course of antibiotics even if you feel better.,Tlatsa meriana eohle ea lithibela-mafu esita le haeba u ikutloa u le betere.,back_translation
Some medications cause drowsiness — do not drive after taking them.,Meriana e meng e baka boroko  u se ke ua khanna ka mor'a ho e noa.,back_translation
This medication may cause sensitivity to sunlight.,Meriana ena e ka 'na ea etsa hore motho a ikutloe a sa sireletseha letsatsing.,back_translation
Apply sunscreen when using medications that increase sun sensitivity.,Sebelisa setlolo se sireletsang letsatsi ha u sebelisa meriana e eketsang kutloisiso ea hao letsatsing.,back_translation
Shake the liquid medication well before each use.,Tšosa meriana e metsi hantle pele u e sebelisa.,back_translation
Use the measuring spoon provided — do not use a kitchen spoon.,Sebelisa sekotlolo sa ho lekanya ha feela u sa sebelise sekotlolo sa kichineng.,back_translation
Measure liquid medications carefully to avoid overdose.,Hlahloba meriana e nang le metsi ka hloko e le hore u qobe ho e sebelisa ka tekanyo e feteletseng.,back_translation
Store insulin in the refrigerator but never freeze it.,Boloka insulin ka sehatsetsing empa u se ke ua e beha ka sehatsetsing.,back_translation
Allow insulin to reach room temperature before injecting.,Lumella insulin hore e fihle mocheso oa kamore pele e kenngoa.,back_translation
Rotate injection sites to prevent skin thickening.,Fetolela libaka tsa ente e le hore letlalo le se ke la ata.,back_translation
"Apply the patch to clean, dry, hairless skin.","Sebelisa setlolo sena letlalong le hloekileng, le omileng, le se nang moriri.",back_translation
Remove the old patch before applying a new one.,Tlosa sekhomaretsi sa khale pele u se sebelisa.,back_translation
Wash your hands before and after applying topical medication.,Hlatsoa matsoho pele le ka mor'a hore u sebelise meriana ea sebakeng seo.,back_translation
Do not apply topical medication to broken or irritated skin.,U se ke ua sebelisa meriana ea sebakeng seo letlalong le robehileng kapa le halefileng.,back_translation
Eye drops should not touch the eye surface directly.,Marotholi a mahlo ha aa lokela ho ama sefahleho sa mahlo ka kotloloho.,back_translation
Tilt your head back and pull down the lower eyelid to apply eye drops.,Beha hlooho ea hao ka morao 'me u theohele ka tlaase ho lesela la leihlo ho sebelisa marotholi a mahlo.,back_translation
Wait at least five minutes between different eye drop medications.,Ema bonyane metsotso e mehlano pakeng tsa meriana e fapaneng ea ho khaotsa ho noa.,back_translation
Ear drops should be warmed to body temperature before use.,Ho lokela ho futhumatsoa marotholi a tsebe ho fihlela mocheso oa 'mele pele a sebelisoa.,back_translation
Lie on your side for five minutes after applying ear drops.,Robala ka lehlakoreng la hao metsotso e mehlano ka mor'a hore u sebelise litlhapi tsa litsebe.,back_translation
Nasal sprays should be directed away from the nasal septum.,Li-spray tsa nko li lokela ho lebisoa hōle le nko ea nko.,back_translation
Inhaled medications must be used with the correct technique.,Meriana e kenang ka hare e lokela ho sebelisoa ka mokhoa o nepahetseng.,back_translation
Rinse your mouth after using a steroid inhaler.,Hlatsoa molomo ka mor'a hore u sebelise inhaler ea steroid.,back_translation
Use a spacer with your metered-dose inhaler for better delivery.,Sebelisa sebaka se nang le mochine oa ho hema o nang le litekanyetso tse lekantsoeng e le hore u fumane nako e molemo ea ho pepa.,back_translation
Keep your inhaler clean and dry at all times.,Boloka mochine oa hao oa ho hema o hloekile ebile o omme ka linako tsohle.,back_translation
Check that your inhaler is not empty before use.,Etsa bonnete ba hore ha u e-s'o sebelise setlolo sa hau sa ho hema.,back_translation
Suppositories should be stored in a cool place.,Li-suppositories li lokela ho bolokoa sebakeng se pholileng.,back_translation
Wash hands thoroughly after handling suppositories.,Hlatsoa matsoho ka hloko ka mor'a hore u sebelise li-suppositori.,back_translation
Some antibiotics reduce the effectiveness of oral contraceptives.,Lithibela-mafu tse ling li fokotsa katleho ea lithibela-mafu tse sebelisoang ka molomo.,back_translation
Tell your doctor if you are pregnant before starting any medication.,Bolella ngaka ea hao haeba u imme pele u qala meriana leha e le efe.,back_translation
Some medications are not safe to take during breastfeeding.,Meriana e meng ha e bolokehe ho e noa nakong ea ho anyesa.,back_translation
Report any allergic reaction to medication immediately.,Tlaleha kapele ka karabelo leha e le efe e sa tloaelehang ea meriana.,back_translation
"Signs of allergic reaction include rash, swelling, and difficulty breathing.","Matšoao a ho tepella ho feteletseng a kenyelletsa ho tsoa ha letlalo, ho ruruha le ho hema ka thata.",back_translation
Seek emergency care if you experience severe chest pain after taking medication.,Batla thuso ea tšohanyetso haeba u e-na le bohloko bo matla sefubeng ka mor'a ho noa meriana.,back_translation
Do not take aspirin for fever in children under 16 years.,U se ke ua noa aspirin bakeng sa feberu ho bana ba ka tlaase ho lilemo tse 16.,back_translation
Paracetamol is safe for fever in children when given at the correct dose.,Paracetamol e bolokehile bakeng sa feberu ho bana ha e fuoa ka tekanyo e nepahetseng.,back_translation
Calculate the correct dose of children's medicine based on body weight.,Hlahloba tekanyo e nepahetseng ea meriana ea bana e itšetlehileng ka boima ba 'mele.,back_translation
Read the package insert carefully before taking any new medication.,Bala lethathamo la meriana ka hloko pele u noa meriana leha e le efe e ncha.,back_translation
Ask your pharmacist if you do not understand the dosage instructions.,Botsa setsebi sa hau sa meriana haeba u sa utloisise litaelo tsa litekanyetso.,back_translation
Keep a list of all your medications and carry it with you.,Boloka lethathamo la meriana eohle ea hao 'me u e nke le uena.,back_translation
Inform your dentist about all medications you are taking.,Bolella ngaka ea meno ka meriana eohle eo u e nkang.,back_translation
Some medications can affect the results of blood tests.,Meriana e meng e ka ama liphello tsa liteko tsa mali.,back_translation
Inform your doctor about any medications before having surgery.,Bolella ngaka ea hao ka meriana leha e le efe pele u buuoa.,back_translation
Do not take iron supplements with dairy products.,U se ke ua nka lisebelisoa tsa tšepe hammoho le lihlahisoa tsa lebese.,back_translation
Take calcium supplements at a different time from iron supplements.,Nka li-supplement tsa calcium ka nako e fapaneng le ea tšepe.,back_translation
Some medications must be taken at the same time every day.,Meriana e meng e lokela ho nooa ka nako e tšoanang letsatsi le letsatsi.,back_translation
Set a daily alarm to help you remember to take your medication.,Beha alamo ea letsatsi le letsatsi e tla u thusa ho hopola ho noa meriana ea hao.,back_translation
A pill organizer can help you track your daily medications.,Mookameli oa lipilisi a ka u thusa hore u latele meriana ea hao ea letsatsi le letsatsi.,back_translation
Metformin should be taken with meals to reduce nausea.,Metformin e lokela ho nooa hammoho le lijo ho fokotsa ho teneha.,back_translation
Statins are usually taken at night for best effect.,Hangata li-statin li nooa bosiu e le hore li ka ba le phello e ntle.,back_translation
Blood pressure medication works best when taken at the same time daily.,Meriana ea khatello ea mali e sebetsa hantle ha e nooa ka nako e tšoanang letsatsi le letsatsi.,back_translation
Thyroid medication should be taken first thing in the morning on an empty stomach.,Meriana ea tšilo ea qoqotho e lokela ho nooa hoseng ka mpeng e se nang letho.,back_translation
Warfarin requires regular blood tests to monitor your INR level.,Warfarin e hloka ho hlahlojoa mali khafetsa ho lekola boemo ba hau ba INR.,back_translation
Avoid foods high in vitamin K while taking warfarin.,Qoba lijo tse nang le vithamine K ha u ntse u noa warfarin.,back_translation
Do not take ibuprofen if you have kidney disease.,U se ke ua noa ibuprofen haeba u na le lefu la liphio.,back_translation
Avoid NSAIDs if you have a history of stomach ulcers.,Qoba li-NSAID haeba u e-na le sefuba sa mpa.,back_translation
Antacids can reduce the absorption of some antibiotics.,Li-antacid li ka fokotsa ho monngoa ha lithibela-mafu tse ling.,back_translation
Take antibiotics at evenly spaced intervals throughout the day.,Nka lithibela-mafu ka nako e lekanang ho pholletsa le letsatsi.,back_translation
Some medications require you to avoid grapefruit juice.,Meriana e meng e hloka hore u qobe lero la grapefruit.,back_translation
Grapefruit juice can increase the level of some drugs in your blood.,Metsi a morara a ka eketsa litekanyetso tsa lithethefatsi tse ling maling a hao.,back_translation
Pregnant women should attend at least eight antenatal visits.,Basali baimana ba lokela ho ea bonyane libokeng tse robeli tsa pele ho tsoalo.,back_translation
Start taking folic acid before you become pregnant.,Qala ho noa folic acid pele u ima.,back_translation
Take folic acid daily for the first three months of pregnancy.,Nka folic acid letsatsi le leng le le leng likhoeling tse tharo tsa pele tsa bokhachane.,back_translation
Folic acid reduces the risk of neural tube defects in the baby.,Folic acid e fokotsa kotsi ea hore lesea le be le bokooa ba methapo ea kutlo.,back_translation
Attend your first antenatal visit as early as possible in pregnancy.,E-ba teng ketelong ea hao ea pele ho tsoalo kapele kamoo ho ka khonehang nakong ea bokhachane.,back_translation
Iron supplements are recommended during pregnancy to prevent anaemia.,Ho kgothaletswa ho nka litlatsetso tsa tšepe nakong ea bokhachane e le hore ho se ke ha e-ba le mali.,back_translation
Calcium supplements support the baby's bone development.,Lisebelisoa tsa khalsiamo li thusa masea ho hōla masapo.,back_translation
Avoid alcohol completely during pregnancy.,Qoba joala ka ho feletseng nakong ea bokhachane.,back_translation
Do not smoke during pregnancy as it harms the baby.,U se ke ua tsuba nakong ea bokhachane kaha ho kotsi ho lesea.,back_translation
Avoid raw or undercooked meat during pregnancy.,Qoba nama e tala kapa e sa phehiloeng hantle nakong ea bokhachane.,back_translation
Do not eat unpasteurised cheese during pregnancy.,U se ke ua ja chisi e sa phekoloa nakong ea bokhachane.,back_translation
Listeria infection during pregnancy can harm the unborn baby.,Ho tšoaetsoa ke Listeria nakong ea bokhachane ho ka senya lesea le e-s'o tsoaloe.,back_translation
Sleep on your left side during the third trimester of pregnancy.,Robala ka lehlakoreng le letšehali nakong ea likhoeli tse tharo tsa bokhachane.,back_translation
Report any swelling of the face or hands during pregnancy to your doctor.,Tsebisa ngaka ea hao ka ho ruruha ha sefahleho kapa matsoho nakong ea bokhachane.,back_translation
High blood pressure during pregnancy can be dangerous.,Khatello e phahameng ea mali nakong ea bokhachane e ka ba kotsi.,back_translation
Pre-eclampsia requires immediate medical attention.,"Pele ho lefu la sethoathoa, ho hlokahala tlhokomelo e potlakileng ea bongaka.",back_translation
Attend all scheduled ultrasound scans during pregnancy.,E-ba teng litlhahlobong tsohle tse reriloeng tsa ultrasound nakong ea bokhachane.,back_translation
The baby's movements should be felt daily from 28 weeks.,"Ho tloha libekeng tse 28 ho ea pele, motsamao oa lesea o lokela ho bonoa letsatsi le leng le le leng.",back_translation
Report any reduction in baby movements to your midwife immediately.,Tsebisa mooki oa hao hang-hang ka phokotso leha e le efe ea motsamao oa lesea.,back_translation
Breastfeeding provides the best nutrition for newborn babies.,Ho anyesa masea ho fana ka phepo e nepahetseng ka ho fetisisa bakeng sa masea a sa tsoa tsoaloa.,back_translation
Breast milk contains antibodies that protect the baby from infection.,Lebese la 'mè le na le li-antibodies tse sireletsang lesea hore le se ke la tšoaetsoa.,back_translation
Breastfeed your baby exclusively for the first six months.,Fepa lesea la hao feela ka likhoeli tse tšeletseng tsa pele.,back_translation
Feed your baby on demand — at least eight times in 24 hours.,Fepa lesea la hao ha le batla  bonyane ka makhetlo a robeli ka lihora tse 24.,back_translation
Ensure the baby latches correctly to prevent nipple pain.,Etsa bonnete ba hore lesea le notlela hantle e le hore le se ke la utloa bohloko ba matsoele.,back_translation
"A good latch means the baby's mouth covers the areola, not just the nipple.","Ho koaloa hantle ho bolela hore molomo oa lesea o koahela areola, eseng feela sefubeng.",back_translation
Burp your baby after each feeding to release trapped air.,Hlatsoa lesea la hao ka mor'a ho fepa ho lokolla moea o koetsoeng.,back_translation
Introduce solid foods at six months alongside continued breastfeeding.,Qala ho ja lijo tse tiileng ka likhoeli tse tšeletseng hammoho le ho anyesa.,back_translation
Do not give honey to babies under one year of age.,U se ke ua fa masea a ka tlaase ho selemo mahe a linotši.,back_translation
Do not give cow's milk as the main drink before 12 months.,U se ke ua fana ka lebese la khomo e le seno se ka sehloohong pele ho likhoeli tse 12.,back_translation
Introduce one new food at a time to watch for allergic reactions.,Tlisa lijo tse ncha ka nako e le 'ngoe e le hore u shebe hore na u na le mafu a ho kula.,back_translation
Babies should sleep on their back to reduce the risk of sudden infant death.,Lesea le lokela ho robala ka mokokotlo e le hore le fokotse kotsi ea lefu la tšohanyetso la masea.,back_translation
Keep the baby's sleeping area free of pillows and loose bedding.,Boloka sebaka seo lesea le robalang ho sona se se na li-pillow le libethe tse lokolohileng.,back_translation
Do not share a bed with your baby if you smoke or drink alcohol.,U se ke ua robala le ngoana oa hao haeba u tsuba kapa u noa joala.,back_translation
Weigh your baby regularly to monitor healthy growth.,Hlahisa lesea la hao khafetsa e le hore le hōle hantle.,back_translation
A baby who is not gaining weight needs medical assessment.,Ngoana ea sa ntseng a nona o hloka ho hlahlojoa ke ngaka.,back_translation
All children should receive the full schedule of childhood vaccinations.,Bana bohle ba lokela ho fumana kemiso e feletseng ea liente tsa bongoana.,back_translation
The BCG vaccine protects against tuberculosis.,Ente ea BCG e sireletsa khahlanong le lefuba.,back_translation
The pentavalent vaccine protects against five serious diseases.,Ente ea pentavalent e sireletsa maloetse a mahlano a tebileng.,back_translation
The measles vaccine is given at nine months and 18 months.,Ente ea masepelo e fuoa likhoeli tse robong le likhoeli tse 18.,back_translation
The rotavirus vaccine prevents severe diarrhoea in infants.,Ente ea rotavirus e thibela ho ruruha ho matla masea.,back_translation
The pneumococcal vaccine protects against pneumonia and meningitis.,Ente ea pneumococcal e sireletsa khahlanong le tšoaetso ea matšoafo le meningitis.,back_translation
Bring your child's Road to Health booklet to every clinic visit.,Tlisa bukana ea Tsela ea Bophelo bo Botle ea ngoana oa hao ha a etela tleliniki e 'ngoe le e 'ngoe.,back_translation
Record all vaccinations in the child's health booklet.,Ngola likokoana-hloko tsohle bukeng ea bophelo bo botle ba ngoana.,back_translation
A child with a fever after vaccination can be given paracetamol.,Ngoana ea nang le feberu ka mor'a ho entoa a ka fuoa paracetamol.,back_translation
Mild redness at the injection site is normal after vaccination.,Bofubelu bo bobebe sebakeng sa ente bo tloaelehile ka mor'a ho entoa.,back_translation
Seek medical care if your child has a high fever after vaccination.,Batla tlhokomelo ea bongaka haeba ngoana oa hao a e-na le feberu e phahameng ka mor'a ho entoa.,back_translation
Oral rehydration solution prevents dehydration from diarrhoea.,Tharollo ea ho nosetsa metsi ka molomo e thibela ho senyeha ha metsi ka lebaka la letšollo.,back_translation
Give oral rehydration solution after every loose stool.,Fana ka tharollo ea ho nosetsa ka molomo ka mor'a hore setulo se lokolohe.,back_translation
Continue breastfeeding during diarrhoea illness.,Tsoela pele ho anyesa nakong ea lefu la letšollo.,back_translation
Zinc supplements reduce the duration of diarrhoea in children.,Lisebelisoa tsa zinki li fokotsa nako eo bana ba tšoaroang ke letšollo ka eona.,back_translation
