sentence_id,domain_category,english_text,sesotho_text,source,source_reference,translator_code,reviewer_status,notes
1,HIV,Antiretroviral therapy should be started as soon as possible after an HIV diagnosis.,Phekolo ea lithibela-mafofore (Antiretroviral therapy) e lokela ho qaleha kapele kamoo ho ka khonehang ka mor'a ho fumanoa u ena le tšoaetso ea HIV.,WHO,art-initiation,,verified,
2,HIV,All people living with HIV should receive antiretroviral therapy regardless of their CD4 count.,Batho bohle ba phelang le tšoaetso ea HIV ba lokela ho fumana phekolo ea lithibela-mafofore (antiretroviral therapy) ho sa tsotellehe boemo ba lisele tsa bona tsa tšireletso tsa CD4 (CD4 count).,WHO,art-initiation,,verified,
3,HIV,Starting ART early reduces the risk of serious illness and death.,Ho qala phekolo ea lithibela-mafofore (ART) kapele ho fokotsa kotsi ea ho kula haholo le lefu.,NIH_HIVinfo,art-initiation,,verified,
4,HIV,Your doctor will choose the best ART regimen based on your health and other medicines you take.,Ngaka ea hau e tla khetha moralo o motle oa phekolo ea lithibela-mafofore (ART regimen) ho latela bophelo ba hau le meriana e meng eo u e nwang.,NIH_HIVinfo,art-initiation,,verified,
5,HIV,ART does not cure HIV but it controls the virus and protects your immune system.,"Phekolo ea lithibela-mafofore (ART) ha e phekole HIV ho e qeta, empa e laola kokwanahloko le ho ts'ireletsa sesole sa mmele sa hau.",CDC_HIVNexus,art-overview,,reviewed,
6,HIV,You must take ART every day for the rest of your life.,U lokela ho nwa phekolo ea lithibela-mafofore (ART) letsatsi le leng le le leng bophelo bohle ba hau.,WHO,art-adherence,,verified,
7,HIV,Missing doses of ART can cause the virus to become resistant to treatment.,"Ho tlola meriana ea phekolo ea lithibela-mafofore (ART) ho ka etsa hore kokwanahloko e rutehe 'me e tloaele moriana, ebe e thibela phekolo ho sebetsa (treatment resistance).",NIH_HIVinfo,art-adherence,,verified,
8,HIV,Taking ART at the same time every day helps maintain the right level of medicine in your blood.,Ho nwa phekolo ea lithibela-mafofore (ART) ka nako e tšoanang letsatsi le leng le le leng ho thusa ho boloka boemo bo nepahetseng ba moriana maling a hau.,CDC_HIVNexus,art-adherence,,reviewed,
9,HIV,ART reduces the amount of HIV in your blood to very low levels.,Phekolo ea lithibela-mafofore (ART) e fokotsa bongata ba kokwanahloko ea HIV maling a hau ho fihla maemong a tlase haholo.,WHO,art-overview,,reviewed,
10,HIV,People on ART can live long and healthy lives.,Batho ba phelang ka phekolo ea lithibela-mafofore (ART) ba ka phela bophelo bo bolelele le bo nang le bophelo bo botle.,UNAIDS,art-benefits,,verified,
11,HIV,ART protects your immune system by keeping your CD4 count high.,Phekolo ea lithibela-mafofore (ART) e ts'ireletsa sesole sa mmele sa hau ka ho boloka boemo ba lisele tsa CD4 bo phahame.,NIH_HIVinfo,art-benefits,,verified,
12,HIV,The goal of ART is to make the viral load undetectable in your blood.,Sepheo sa phekolo ea lithibela-mafofore (ART) ke ho etsa hore bongata ba kokwanahloko (viral load) bo fokotsehe hoo bo ke keng ba hlola bo bonahala maling a hau (undetectable).,CDC_HIVNexus,art-goals,,verified,
13,HIV,An undetectable viral load means the treatment is working.,Bongata ba kokwanahloko bo sa hloleng bo bonahala (undetectable viral load) bo bolela hore phekolo e ntse e sebetsa hantle.,WHO,art-goals,,verified,
14,HIV,Do not stop taking your ART even if you feel healthy.,U se ke ua tlohela ho nwa phekolo ea lithibela-mafofore (ART) leha u ikutloa u phetse hantle e bile u le matla.,NIH_HIVinfo,art-adherence,,verified,
15,HIV,Tell your healthcare provider if you have difficulty taking your medicines every day.,Polella mofani oa hau oa tlhokomelo ea bophelo (ngaka kapa moki) haeba u na le bothata ba ho nwa meriana ea hau letsatsi le leng le le leng.,CDC_HIVNexus,art-adherence,,reviewed,
16,HIV,A pill organiser can help you remember to take your medicines on time.,"""Sehlophisi sa lipilisi (pill organiser) se ka u thusa ho hopola ho nwa meriana ea hau ka nako e nepahetseng.",NHS,art-adherence-tools,,verified,
17,HIV,Setting a daily alarm can help you remember to take your HIV medicine.,Ho jala alamo ea letsatsi le leng le le leng ho ka u thusa ho hopola ho nwa moriana oa hau oa HIV.,NHS,art-adherence-tools,,verified,
18,HIV,Ask a trusted friend or family member to help remind you to take your medicine.,Kopa motsoalle kapa setho sa lelapa seo u se tšepang ho u hopotsa ho nwa moriana oa hau.,CDC_HIVNexus,art-adherence-tools,,verified,
19,HIV,Your pharmacist can answer questions about your HIV medicines.,Rematanyane kapa ralechesi oa hau (pharmacist) a ka araba lipotso mabapi le meriana ea hau ea HIV.,FDA,art-pharmacy,,reviewed,
20,HIV,Always collect your ART refill before you run out of medicine.,Kogela kapa u khee letsoho la phekolo ea hau ea lithibela-mafofore (ART) kamehla pele meriana eo u nang le eona e fela.,WHO,art-adherence,,verified,
21,HIV,A CD4 count measures the number of CD4 cells in your blood.,Palo ea CD4 (CD4 count) e lekanya bongata ba lisele tsa CD4 maling a hau.,NIH_HIVinfo,hiv-monitoring,,reviewed,
22,HIV,A normal CD4 count is between 500 and 1500 cells per cubic millimetre.,Palo e tloaelehileng ea CD4 e lipakeng tsa lisele tse 500 le 1500 khubiki milimitara ka 'ngoe (cells per cubic millimetre).,CDC_HIVNexus,hiv-monitoring,,reviewed,
23,HIV,A CD4 count below 200 means your immune system is severely weakened.,Palo ea CD4 e ka tlase ho lisele tse 200 e bolela hore sesole sa mmele sa hau se fokola haholo.,WHO,hiv-monitoring,,reviewed,
24,HIV,Your CD4 count should be checked regularly when you start ART.,Palo ea lisele tsa hau tsa CD4 e lokela ho hlahlojoa kamehla ka mor'a hore u qale phekolo ea lithibela-mafofore (ART).,NIH_HIVinfo,hiv-monitoring,,reviewed,
25,HIV,A rising CD4 count means your immune system is recovering on ART.,Palo e ntseng e phahama ea CD4 e bolela hore sesole sa mmele sa hau se ntse se hlaphoheloa ka lebaka la phekolo ea lithibela-mafofore (ART).,CDC_HIVNexus,hiv-monitoring,,verified,
26,HIV,Viral load testing measures how much HIV is in your blood.,Tlhahlobo ea bongata ba kokwanahloko (viral load testing) e lekanya hore na ho na le HIV e kae maling a hau.,WHO,hiv-monitoring,,reviewed,
27,HIV,A viral load below 200 copies per millilitre is considered suppressed.,Bongata ba kokwanahloko bo ka tlase ho likopi tse 200 mililitara ka 'ngoe (200 copies per millilitre) bo nkoa bo hatelitsoe kapa bo le tlas'a taolo (suppressed).,NIH_HIVinfo,hiv-monitoring,,reviewed,
28,HIV,Viral load should be tested six months after starting ART.,Bongata ba kokwanahloko (viral load) bo lokela ho hlahlojoa likhoeli tse tšeletseng ka mor'a hore u qale phekolo ea lithibela-mafofore (ART).,WHO,hiv-monitoring,,reviewed,
29,HIV,A high viral load means the virus is not well controlled.,Bongata bo phahameng ba kokwanahloko (high viral load) bo bolela hore vaerase ha ea laoleha hantle.,CDC_HIVNexus,hiv-monitoring,,reviewed,
30,HIV,Regular monitoring helps your doctor know if your ART is working.,Tlhahlobo ea madi ea ho beha leihlo lebelo la HIV (HIV monitoring) hangata e etsoa kamora likhoeli tse ling le tse ling tse tharo ho isa ho tse tšeletseng.,NIH_HIVinfo,hiv-monitoring,,reviewed,
31,HIV,Blood tests for HIV monitoring are usually done every three to six months.,Tlhahlobo ea madi ea ho beha leihlo lebelo la HIV (HIV monitoring) hangata e etsoa kamora likhoeli tse ling le tse ling tse tharo ho isa ho tse tšeletseng.,WHO,hiv-monitoring,,reviewed,
32,HIV,Keep all your laboratory appointments even if you feel well.,Boloka lipehelo (appointments) tsohle tsa hau tsa laboratoring leha u ikutloa u phetse hantle.,CDC_HIVNexus,hiv-monitoring,,reviewed,
