english,reference_sesotho,nllb_sesotho,google_sesotho
I am proud that I never missed a single dose of my TB medication.,Ke ikantse hore ha ke eso lahleheloe ke dose le e le 'ngoe ea meriana ea TB ea ka.,Ke motlotlo hore ebe ha ho mohla nkileng ka fetoa ke meriana ea ka ea TB.,Ke motlotlo hore ebe ha ho mohla nkileng ka fetoa ke lethal dose le le leng la moriana oa ka oa lefuba.
Set a daily alarm on your phone to remind you to take your medicine.,Beha alarm ea letsatsi le leng le le leng mohaling oa hau ho u khumamisa ho nka moriana oa hau.,Beha alamo ea letsatsi le letsatsi fonong ea hao ho u hopotsa hore u noe meriana ea hao.,Beha alamo ea letsatsi le letsatsi fonong ea hau ho u hopotsa ho noa moriana oa hau.
Take your medicine with a commitment to completing the full course.,Nka moriana oa hau le boikarabello ba ho phetela khoroso yohle.,Nka meriana ea hao u ikemiselitse ho e sebelisa ka ho feletseng.,Nka meriana ea hau ka boitlamo ba ho phethela thupelo e felletseng.
Anyone with a cough lasting more than two weeks should be evaluated for TB.,Motho ofe kapa ofe ea nang le ho kohoa ho feta libeke tse peli o lokela ho hlahlobeloa TB.,Motho e mong le e mong ea nang le ho khohlela ho tšoarellang ka nako e fetang libeke tse peli o lokela ho hlahlojoa hore na o na le TB.,Mang kapa mang ea nang le khohlela e nkang nako e fetang libeke tse peli o lokela ho hlahlojoa hore na a na le lefuba.
Acyclovir is used to treat herpes zoster in people living with HIV.,Acyclovir e sebelisoa ho phekola herpes zoster ho batho ba phelang le HIV.,Acyclovir e sebelisetsoa ho phekola herpes zoster ho batho ba nang le HIV.,Acyclovir e sebelisoa ho phekola herpes zoster ho batho ba phelang le HIV.
Voluntary medical male circumcision reduces the risk of HIV in men.,Ho circumcision kapa ho koba banna ka boithatelo ho fokotsa kotsi ea ho tšoaetsoa ke HIV ho banna.,Lebollo la bongaka la banna la boithatelo le fokotsa kotsi ea ho tšoaetsoa ke HIV ho banna.,Lebollo la banna ka boithaopo le fokotsa kotsi ea HIV ho banna.
Lobola and other cultural practices can sometimes increase HIV risk and need to be discussed openly.,Lobola le ditsheho tse dingwe tsa setso di ka oketseka tšiamo ya HIV mme di hloka ho buiwa ka botjha.,Lobola le mekhoa e meng ea setso ka linako tse ling e ka eketsa kotsi ea HIV 'me e lokela ho tšohloa ka bolokolohi.,Lobola le litloaelo tse ling tsa setso ka linako tse ling li ka eketsa kotsi ea HIV 'me li hloka ho buisanoa ka bolokolohi.
"Take the missed dose as soon as possible, and continue as directed by your doctor.","Nka dose e lahlehileng kamoo ho khonehang ka potlako, mme u tsoele pele joalo ka ha ngaka ea hau e laetsa.","Nka lethal dose le lahlehileng kapele kamoo ho ka khonehang, 'me u tsoele pele ho latela litaelo tsa ngaka ea hao.","Nka tekanyo e hlolohetsoeng kapele kamoo ho ka khonehang, 'me u tsoele pele joalokaha u laetsoe ke ngaka ea hau."
"If you miss a dose, use a pill organiser to help you remember in the future.","Haeba u lahlehetsoe ke dose, sebelisa pill organiser ho u thusa ho hopola nakong e tlang.","Haeba u hloloheloa tekanyetso, sebelisa sesebelisoa sa ho hlophisa pilisi ho u thusa ho hopola nakong e tlang.","Haeba u fetoa ke tekanyetso, sebelisa mohlophisi oa lipilisi ho u thusa ho hopola nakong e tlang."
Community education reduces TB stigma and encourages people to seek care.,Thuto ea sechaba e fokotsa kekello ea TB le ho khothaletsa batho ho batla tlhokomelo.,Thuto ea sechaba e fokotsa ho tšoaroa hampe ha TB 'me e khothalletsa batho hore ba batle tlhokomelo.,Thuto ea sechaba e fokotsa sekhobo sa lefuba le ho khothaletsa batho ho batla tlhokomelo.
"Take the missed dose as soon as you remember, and continue the prescribed course.","Nka dose e lahlehileng hang hang ha u hopola, mme u tsoele pele le khoroso e laetsoeng.","Nka tekanyo eo u sa kang ua e noa hang ha u hopola, 'me u tsoele pele ka tsela eo u e laetsoeng.","Nka tekanyo e fetiloeng hang ha u hopola, 'me u tsoele pele ka thupelo e behiloeng."
Self-stigma occurs when a person living with HIV internalises negative beliefs about themselves.,Kekello ea motho ka bo eena e etsahala ha motho ea phelang le HIV a amohela mehopolo e mebe ka ho iphumana.,Ho itšepa ho etsahala ha motho ea nang le tšoaetso ea HIV a nahana ka lintho tse fosahetseng ka eena.,Ho ikhalala ho etsahala ha motho ea phelang le HIV a kenya ka hare litumelo tse mpe ka eena.
Long-distance truck drivers are a key population for HIV prevention interventions.,Bashofori ba litraka tsa leeto le lelelele ke sechaba se bohlokoa bakeng sa meketso ea thibelo ea HIV.,Bakhanni ba literaka tse tsamaeang hole ke karolo ea bohlokoa ea batho ba thibelang tšoaetso ea HIV.,Bakhanni ba literaka tsa maeto a malelele ke batho ba ka sehloohong ba litokelo tsa thibelo ea HIV.
Foster care and adoption programmes support children who have lost parents to HIV.,Mananeo a tlhokomelo ea ho hlokomela le ho amohela bana a tshehetsa bana ba lahlehetseng ke batsoali ka lebaka la HIV.,Mananeo a ho hlokomela bana le a ho ba amohela a tšehetsa bana ba lahlehetsoeng ke batsoali ba bona ka lebaka la HIV.,Mananeo a tlhokomelo ea bana le a ho adoptha a tšehetsa bana ba lahlehetsoeng ke batsoali ka lebaka la HIV.
I feel a pressure in my chest when I breathe.,Ke ikutloa khatello sefubeng ha ke hema.,"Ha ke hema, ke ikutloa ke hatelloa sefubeng.",Ke utloa khatello sefubeng sa ka ha ke hema.
I need to book an appointment for a counselling session.,Ke hloka ho buka appointment bakeng sa session ea keletso.,Ke hloka ho bokella kopano bakeng sa seboka sa boeletsi.,Ke hloka ho behela nako ea kopano bakeng sa kopano ea tlhabollo.
Line probe assays (LPA) can rapidly detect resistance to first and second-line TB drugs.,Li-assay tsa line probe (LPA) li ka fumana kapele khakanyo ea meriana ea TB ea mola oa pele le oa bobeli.,Liteko tsa line probe (LPA) li ka lemoha ka potlako ho hanyetsa lithethefatsi tsa TB tsa mola oa pele le oa bobeli.,Litlhahlobo tsa li-line probe assays (LPA) li ka lemoha ka potlako ho hanyetsa litlhare tsa lefuba tsa mofuta oa pele le oa bobeli.
I have a rash on my whole body that is very itchy.,Ke na le ho ruruha ha letlalo 'meleng oa ka ka bophara ho hlohlonang haholo.,Ke na le pherekano 'meleng oohle e nkhathatsang haholo.,Ke na le lekhopho 'meleng oa ka kaofela le hlohlona haholo.
Improved TB diagnostics are needed to detect all forms of the disease accurately.,Litlhahlobo tse ntlafetse tsa TB li hlokeha ho fumana mefuta yohle ea bolwetse ka nepo.,Ho hlokahala hore ho be le tlhahlobo e ntlafalitsoeng ea lefu la TB e le hore ho ka fumanoa mefuta eohle ea lefu lena ka nepo.,Litlhahlobo tse ntlafalitsoeng tsa lefuba lia hlokahala ho lemoha mefuta eohle ea lefu lena ka nepo.
Point-of-care TB diagnostics improve access to testing in remote and resource-limited settings.,Litlhahlobo tsa TB tsa sebaka sa tlhokomelo li ntlafatsa phihlello ea liteko libakeng tse hole le tse hlokang mehloli.,Tlhahlobo ea lefu la TB sebakeng sa tlhokomelo e ntlafatsa mokhoa oa ho etsa liteko libakeng tse hōle le tse nang le mehloli e fokolang.,Litlhahlobo tsa lefuba tsa ntlha-of-care li ntlafatsa phihlello ea liteko libakeng tse hole le tse nang le lisebelisoa tse fokolang.
I am HIV-positive and I want to donate blood to help others.,Ke na le HIV mme ke batla ho fana ka mali ho thusa ba bang.,Ke tšoaelitsoe ke HIV 'me ke batla ho fana ka mali ho thusa ba bang.,Ke na le HIV mme ke batla ho fana ka madi ho thusa ba bang.
I feel a squeezing sensation in my throat when I breathe.,Ke ikutloa maikutlo a ho kama molaleng ha ke hema.,Ha ke hema ke ikutloa ke tenehile molaleng.,Ke utloa ke lla 'metsong oa ka ha ke hema.
The COVID-19 pandemic disrupted TB services and led to an increase in TB deaths between 2020 and 2022.,Lefu la COVID-19 le phephetse litshebeletso tsa TB mme la lebisa ho eketseheng ha lifu tsa TB pakeng tsa 2020 le 2022.,Lefu la seoa la COVID-19 le sitisitse lits'ebeletso tsa TB mme la lebisa keketsehong ea mafu a TB lipakeng tsa 2020 le 2022.,Seoa sa COVID-19 se ile sa sitisa lits'ebeletso tsa lefuba mme sa baka keketseho ea mafu a lefuba lipakeng tsa 2020 le 2022.
Food requirements for ART medicines vary and patients should be counselled accordingly.,Litlhoko tsa lijo bakeng sa meriana ea ART li fapana mme bakuli ba lokela ho fuoa keletso ka ho latela.,Litlhoko tsa lijo bakeng sa meriana ea ART lia fapana 'me bakuli ba lokela ho eletsoa ka tsela e loketseng.,Litlhoko tsa lijo bakeng sa meriana ea ART lia fapana 'me bakuli ba lokela ho eletsoa ka nepo.
Emergency medical services are available for life-threatening conditions.,Litšebeletso tsa bongaka tsa tšohanyetso li fumaneha bakeng sa maemo a tšohanyetso a kotsi ea bophelo.,Litšebeletso tsa bongaka tsa tšohanyetso li fumaneha bakeng sa maemo a sokelang bophelo.,Litšebeletso tsa bongaka tsa maemo a tšohanyetso lia fumaneha bakeng sa maemo a sokelang bophelo.
I have been thinking about ending my life since my HIV diagnosis.,Ke nahana ka ho qetela botjha bjale ka tšohle ke ile ka tseba hore ke na HIV.,Ke 'nile ka nahana ka ho felisa bophelo ba ka ho tloha ha ke fumanoa ke e-na le tšoaetso ea HIV.,Ke ntse ke nahana ho ipolaea ho tloha ha ke fumana tšoaetso ea HIV.
I was told what to expect during labour and delivery.,Ke ne ke ile ya tsibiswe ka ho se etsahalang ho tswa ntlele le ho tswala.,Ke ile ka bolelloa seo ke lokelang ho se lebella nakong ea ho beleha le ho pepa.,Ke ile ka bolelloa seo ke lokelang ho se lebella nakong ea ho pepa le pelehi.
Oral candidiasis presents as white patches in the mouth that can be wiped off.,Oral candidiasis e bontsha e le sebaka sa masolle ho molomo o ka qhetellang.,Candidiasis ea molomo e hlaha e le matheba a masoeu molomong a ka tlosoang.,Oral candidiasis e hlahisa matheba a masoeu ka hanong a ka hlakolohang.
Mental health conditions such as depression are treatable.,Maemo a bophelo ba kelello joalo ka khutsanyetso a ka alafoa.,Maemo a kelello a kang ho tepella maikutlo a ka phekoloa.,Maemo a bophelo bo botle ba kelello a kang khatello ea maikutlo aa phekoleha.
Standard precautions must be followed by all healthcare workers to prevent HIV exposure.,Tšireletso e tšoanang e swanetse e etsoe ke baahi bohle ba tšehetso ya tšireletso ho hlola HIV.,Basebetsi bohle ba tlhokomelo ea bophelo ba lokela ho latela litekanyetso tse tloaelehileng tsa ho itšireletsa khahlanong le HIV.,Litlhokomelo tse tloaelehileng li tlameha ho lateloa ke basebeletsi bohle ba tlhokomelo ea bophelo ho thibela tšoaetso ea HIV.
Place the lozenge in the mouth and let it dissolve slowly.,Beha lozenge molomong mme u e lumelle ho nyamela butle.,E behe molomong 'me u e tlohele e qhibilihe butle-butle.,Beha lozenge ka hanong 'me u e tlohele e qhibilihe butle-butle.
Fixed-dose combination tablets make it easier to take ART by combining multiple medicines in one pill.,"Tabetele e nang le mahlakore a mararo e etsa hore o e je ART ka tsela e bonolo, ka ho etsa hore diphaphathi tse ngata di kwalele motheo o le mong.",Lipilisi tse nang le tekanyo e tsitsitseng li etsa hore ho be bonolo ho nka ART ka ho kopanya meriana e mengata ka pilisi e le 'ngoe.,Lipilisi tsa motsoako oa tekanyo e sa fetoheng li etsa hore ho be bonolo ho noa ART ka ho kopanya meriana e mengata pilising e le 'ngoe.
Vaccination against hepatitis B protects your liver.,Ho entisoa bakeng sa hepatitis B ho sireletsa sebete sa hao.,Ente e khahlanong le lefu la sebete la B e sireletsa sebete sa hao.,Ho entoa khahlanong le lefu la sebete la mofuta oa B ho sireletsa sebete sa hao.
Post-traumatic stress disorder can develop after a traumatic event.,Maemo a khatello ea maikutlo ka mor'a kotsi a ka hlaha ka mor'a tikoloho e bohloko.,Ho ka 'na ha e-ba le khatello ea maikutlo ka mor'a ketsahalo e bohloko.,Bothata ba ho imeloa kelellong ka mor'a ketsahalo e sithabetsang bo ka hlaha ka mor'a ketsahalo e sithabetsang.
Civil society organisations play a vital role in TB advocacy and community mobilisation.,Mekhatlo ea sechaba sa baahi e bua karolo ea bohlokoa ho boipiletso ba TB le ho matlafatsa sechaba.,Mekhatlo ea sechaba e phetha karolo ea bohlokoa ho buisaneng ka TB le ho kenya letsoho sechabeng.,Mekhatlo ea sechaba e bapala karolo ea bohlokoa bobuelling ba lefuba le tlhophisong ea sechaba.
Give the medicine to the child using a spoon if the child refuses the syringe.,Fana ka moriana ho ngoana ka sekhoro haeba ngoana a hana syringe.,Fana ka moriana ho ngoana ka sekotlolo haeba ngoana a hana ho sebelisa spray.,Fana ka moriana ho ngoana ka khaba haeba ngoana a hana seringe.
