sentence_id,domain_category,english_text,sesotho_text
1801,Medication Instructions,Take one tablet twice daily with food.,
1802,Medication Instructions,Take two capsules every eight hours with a full glass of water.,
1803,Medication Instructions,Take one tablet in the morning and one at night.,
1804,Medication Instructions,Take this medicine three times a day after meals.,
1805,Medication Instructions,Take one tablet every twelve hours.,
1806,Medication Instructions,Take two tablets once daily in the morning.,
1807,Medication Instructions,Take one capsule four times a day at equal intervals.,
1808,Medication Instructions,Take half a tablet daily if you weigh less than 50kg.,
1809,Medication Instructions,Take one tablet daily for seven days.,
1810,Medication Instructions,"Take two tablets on the first day, then one tablet daily for the remaining days.",
1811,Medication Instructions,Take one tablet every six hours as needed for pain.,
1812,Medication Instructions,Take one tablet at bedtime to help you sleep.,
1813,Medication Instructions,Take one tablet thirty minutes before meals.,
1814,Medication Instructions,"Take two tablets immediately, then one tablet every eight hours.",
1815,Medication Instructions,Take one tablet with breakfast every morning.,
1816,Medication Instructions,Take the full prescribed dose at the same time each day.,
1817,Medication Instructions,Take one tablet daily without missing any doses.,
1818,Medication Instructions,"Take one tablet every four hours, not exceeding six tablets in twenty-four hours.",
1819,Medication Instructions,Take two tablets twice daily for ten days.,
1820,Medication Instructions,Take one capsule with your evening meal.,
1821,Medication Instructions,Take one tablet on an empty stomach first thing in the morning.,
1822,Medication Instructions,Take three tablets once daily with food.,
1823,Medication Instructions,Take one tablet every twenty-four hours.,
1824,Medication Instructions,Take two capsules three times a day with meals.,
1825,Medication Instructions,"Take one tablet daily for fourteen days, then reassess.",
1826,Medication Instructions,Take one tablet twice daily for five days.,
1827,Medication Instructions,Take one tablet every eight hours for seven days.,
1828,Medication Instructions,Take two tablets at night before sleeping.,
1829,Medication Instructions,Take one tablet in the morning on an empty stomach.,
1830,Medication Instructions,Take one capsule twice daily with plenty of water.,
1831,Medication Instructions,Take one tablet with a meal to reduce stomach upset.,
1832,Medication Instructions,"Take two tablets as a single dose, then one tablet daily.",
1833,Medication Instructions,Take one tablet every day at the same time to maintain steady levels.,
1834,Medication Instructions,"Take one tablet twice daily, morning and evening.",
1835,Medication Instructions,Take one tablet three times daily after food.,
1836,Medication Instructions,Take two tablets once at night for the full treatment course.,
1837,Medication Instructions,Take one tablet daily for thirty days.,
1838,Medication Instructions,Take one capsule every twelve hours with food.,
1839,Medication Instructions,Take one tablet four times daily for three days.,
1840,Medication Instructions,"Take two tablets on day one, then one tablet on days two through five.",
1841,Medication Instructions,Take one tablet at noon and one at bedtime.,
1842,Medication Instructions,Take the medication at evenly spaced intervals throughout the day.,
1843,Medication Instructions,Take one tablet with a large glass of water and remain upright for thirty minutes.,
1844,Medication Instructions,Take two tablets twice daily until the prescription is finished.,
1845,Medication Instructions,Take one tablet every morning with or without food.,
1846,Medication Instructions,Take one tablet three times a day for fourteen days.,
