english,reference_sesotho,nllb_output
I am proud that I never missed a single dose of my TB medication.,Ke ikantse hore ha ke eso lahleheloe ke dose le e le 'ngoe ea meriana ea TB ea ka.,Ke motlotlo hore ebe ha ho mohla nkileng ka fetoa ke meriana ea ka ea TB.
Set a daily alarm on your phone to remind you to take your medicine.,Beha alarm ea letsatsi le leng le le leng mohaling oa hau ho u khumamisa ho nka moriana oa hau.,Beha alamo ea letsatsi le letsatsi fonong ea hao ho u hopotsa hore u noe meriana ea hao.
Take your medicine with a commitment to completing the full course.,Nka moriana oa hau le boikarabello ba ho phetela khoroso yohle.,Nka meriana ea hao u ikemiselitse ho e sebelisa ka ho feletseng.
Anyone with a cough lasting more than two weeks should be evaluated for TB.,Motho ofe kapa ofe ea nang le ho kohoa ho feta libeke tse peli o lokela ho hlahlobeloa TB.,Motho e mong le e mong ea nang le ho khohlela ho tšoarellang ka nako e fetang libeke tse peli o lokela ho hlahlojoa hore na o na le TB.
Acyclovir is used to treat herpes zoster in people living with HIV.,Acyclovir e sebelisoa ho phekola herpes zoster ho batho ba phelang le HIV.,Acyclovir e sebelisetsoa ho phekola herpes zoster ho batho ba nang le HIV.
Voluntary medical male circumcision reduces the risk of HIV in men.,Ho circumcision kapa ho koba banna ka boithatelo ho fokotsa kotsi ea ho tšoaetsoa ke HIV ho banna.,Lebollo la bongaka la banna la boithatelo le fokotsa kotsi ea ho tšoaetsoa ke HIV ho banna.
Lobola and other cultural practices can sometimes increase HIV risk and need to be discussed openly.,Lobola le ditsheho tse dingwe tsa setso di ka oketseka tšiamo ya HIV mme di hloka ho buiwa ka botjha.,Lobola le mekhoa e meng ea setso ka linako tse ling e ka eketsa kotsi ea HIV 'me e lokela ho tšohloa ka bolokolohi.
"Take the missed dose as soon as possible, and continue as directed by your doctor.","Nka dose e lahlehileng kamoo ho khonehang ka potlako, mme u tsoele pele joalo ka ha ngaka ea hau e laetsa.","Nka lethal dose le lahlehileng kapele kamoo ho ka khonehang, 'me u tsoele pele ho latela litaelo tsa ngaka ea hao."
"If you miss a dose, use a pill organiser to help you remember in the future.","Haeba u lahlehetsoe ke dose, sebelisa pill organiser ho u thusa ho hopola nakong e tlang.","Haeba u hloloheloa tekanyetso, sebelisa sesebelisoa sa ho hlophisa pilisi ho u thusa ho hopola nakong e tlang."
Community education reduces TB stigma and encourages people to seek care.,Thuto ea sechaba e fokotsa kekello ea TB le ho khothaletsa batho ho batla tlhokomelo.,Thuto ea sechaba e fokotsa ho tšoaroa hampe ha TB 'me e khothalletsa batho hore ba batle tlhokomelo.
"Take the missed dose as soon as you remember, and continue the prescribed course.","Nka dose e lahlehileng hang hang ha u hopola, mme u tsoele pele le khoroso e laetsoeng.","Nka tekanyo eo u sa kang ua e noa hang ha u hopola, 'me u tsoele pele ka tsela eo u e laetsoeng."
Self-stigma occurs when a person living with HIV internalises negative beliefs about themselves.,Kekello ea motho ka bo eena e etsahala ha motho ea phelang le HIV a amohela mehopolo e mebe ka ho iphumana.,Ho itšepa ho etsahala ha motho ea nang le tšoaetso ea HIV a nahana ka lintho tse fosahetseng ka eena.
Long-distance truck drivers are a key population for HIV prevention interventions.,Bashofori ba litraka tsa leeto le lelelele ke sechaba se bohlokoa bakeng sa meketso ea thibelo ea HIV.,Bakhanni ba literaka tse tsamaeang hole ke karolo ea bohlokoa ea batho ba thibelang tšoaetso ea HIV.
Foster care and adoption programmes support children who have lost parents to HIV.,Mananeo a tlhokomelo ea ho hlokomela le ho amohela bana a tshehetsa bana ba lahlehetseng ke batsoali ka lebaka la HIV.,Mananeo a ho hlokomela bana le a ho ba amohela a tšehetsa bana ba lahlehetsoeng ke batsoali ba bona ka lebaka la HIV.
I feel a pressure in my chest when I breathe.,Ke ikutloa khatello sefubeng ha ke hema.,"Ha ke hema, ke ikutloa ke hatelloa sefubeng."
I need to book an appointment for a counselling session.,Ke hloka ho buka appointment bakeng sa session ea keletso.,Ke hloka ho bokella kopano bakeng sa seboka sa boeletsi.
Line probe assays (LPA) can rapidly detect resistance to first and second-line TB drugs.,Li-assay tsa line probe (LPA) li ka fumana kapele khakanyo ea meriana ea TB ea mola oa pele le oa bobeli.,Liteko tsa line probe (LPA) li ka lemoha ka potlako ho hanyetsa lithethefatsi tsa TB tsa mola oa pele le oa bobeli.
I have a rash on my whole body that is very itchy.,Ke na le ho ruruha ha letlalo 'meleng oa ka ka bophara ho hlohlonang haholo.,Ke na le pherekano 'meleng oohle e nkhathatsang haholo.
Improved TB diagnostics are needed to detect all forms of the disease accurately.,Litlhahlobo tse ntlafetse tsa TB li hlokeha ho fumana mefuta yohle ea bolwetse ka nepo.,Ho hlokahala hore ho be le tlhahlobo e ntlafalitsoeng ea lefu la TB e le hore ho ka fumanoa mefuta eohle ea lefu lena ka nepo.
Point-of-care TB diagnostics improve access to testing in remote and resource-limited settings.,Litlhahlobo tsa TB tsa sebaka sa tlhokomelo li ntlafatsa phihlello ea liteko libakeng tse hole le tse hlokang mehloli.,Tlhahlobo ea lefu la TB sebakeng sa tlhokomelo e ntlafatsa mokhoa oa ho etsa liteko libakeng tse hōle le tse nang le mehloli e fokolang.
I am HIV-positive and I want to donate blood to help others.,Ke na le HIV mme ke batla ho fana ka mali ho thusa ba bang.,Ke tšoaelitsoe ke HIV 'me ke batla ho fana ka mali ho thusa ba bang.
I feel a squeezing sensation in my throat when I breathe.,Ke ikutloa maikutlo a ho kama molaleng ha ke hema.,Ha ke hema ke ikutloa ke tenehile molaleng.
The COVID-19 pandemic disrupted TB services and led to an increase in TB deaths between 2020 and 2022.,Lefu la COVID-19 le phephetse litshebeletso tsa TB mme la lebisa ho eketseheng ha lifu tsa TB pakeng tsa 2020 le 2022.,Lefu la seoa la COVID-19 le sitisitse lits'ebeletso tsa TB mme la lebisa keketsehong ea mafu a TB lipakeng tsa 2020 le 2022.
Food requirements for ART medicines vary and patients should be counselled accordingly.,Litlhoko tsa lijo bakeng sa meriana ea ART li fapana mme bakuli ba lokela ho fuoa keletso ka ho latela.,Litlhoko tsa lijo bakeng sa meriana ea ART lia fapana 'me bakuli ba lokela ho eletsoa ka tsela e loketseng.
Emergency medical services are available for life-threatening conditions.,Litšebeletso tsa bongaka tsa tšohanyetso li fumaneha bakeng sa maemo a tšohanyetso a kotsi ea bophelo.,Litšebeletso tsa bongaka tsa tšohanyetso li fumaneha bakeng sa maemo a sokelang bophelo.
I have been thinking about ending my life since my HIV diagnosis.,Ke nahana ka ho qetela botjha bjale ka tšohle ke ile ka tseba hore ke na HIV.,Ke 'nile ka nahana ka ho felisa bophelo ba ka ho tloha ha ke fumanoa ke e-na le tšoaetso ea HIV.
I was told what to expect during labour and delivery.,Ke ne ke ile ya tsibiswe ka ho se etsahalang ho tswa ntlele le ho tswala.,Ke ile ka bolelloa seo ke lokelang ho se lebella nakong ea ho beleha le ho pepa.
Oral candidiasis presents as white patches in the mouth that can be wiped off.,Oral candidiasis e bontsha e le sebaka sa masolle ho molomo o ka qhetellang.,Candidiasis ea molomo e hlaha e le matheba a masoeu molomong a ka tlosoang.
Mental health conditions such as depression are treatable.,Maemo a bophelo ba kelello joalo ka khutsanyetso a ka alafoa.,Maemo a kelello a kang ho tepella maikutlo a ka phekoloa.
Standard precautions must be followed by all healthcare workers to prevent HIV exposure.,Tšireletso e tšoanang e swanetse e etsoe ke baahi bohle ba tšehetso ya tšireletso ho hlola HIV.,Basebetsi bohle ba tlhokomelo ea bophelo ba lokela ho latela litekanyetso tse tloaelehileng tsa ho itšireletsa khahlanong le HIV.
Place the lozenge in the mouth and let it dissolve slowly.,Beha lozenge molomong mme u e lumelle ho nyamela butle.,E behe molomong 'me u e tlohele e qhibilihe butle-butle.
Fixed-dose combination tablets make it easier to take ART by combining multiple medicines in one pill.,"Tabetele e nang le mahlakore a mararo e etsa hore o e je ART ka tsela e bonolo, ka ho etsa hore diphaphathi tse ngata di kwalele motheo o le mong.",Lipilisi tse nang le tekanyo e tsitsitseng li etsa hore ho be bonolo ho nka ART ka ho kopanya meriana e mengata ka pilisi e le 'ngoe.
Vaccination against hepatitis B protects your liver.,Ho entisoa bakeng sa hepatitis B ho sireletsa sebete sa hao.,Ente e khahlanong le lefu la sebete la B e sireletsa sebete sa hao.
Post-traumatic stress disorder can develop after a traumatic event.,Maemo a khatello ea maikutlo ka mor'a kotsi a ka hlaha ka mor'a tikoloho e bohloko.,Ho ka 'na ha e-ba le khatello ea maikutlo ka mor'a ketsahalo e bohloko.
Civil society organisations play a vital role in TB advocacy and community mobilisation.,Mekhatlo ea sechaba sa baahi e bua karolo ea bohlokoa ho boipiletso ba TB le ho matlafatsa sechaba.,Mekhatlo ea sechaba e phetha karolo ea bohlokoa ho buisaneng ka TB le ho kenya letsoho sechabeng.
Give the medicine to the child using a spoon if the child refuses the syringe.,Fana ka moriana ho ngoana ka sekhoro haeba ngoana a hana syringe.,Fana ka moriana ho ngoana ka sekotlolo haeba ngoana a hana ho sebelisa spray.
Can I bring my child to my appointment?,Na nka tlisa ngoana oa ka appointment ea ka?,Na nka tlisa ngoana oa ka ho ea kopana le 'na?
I was advised to enrol my child in an early childhood development programme.,Ke keletsoeng ho ngolisa ngoana oa ka lenanenong la kholo ea bana ba banyenyane.,Ke ile ka eletsoa hore ke ngolise ngoana oa ka lenaneong la tsoelo-pele ea bongoaneng.
Palliative care improves the quality of life for people with serious illness.,Tlhokomelo ea ho fokotsa bohloko e ntlafatsa boleng ba bophelo bakeng sa batho ba nang le mahlwetse a matla.,Tlhokomelo e thibelang mafu e ntlafatsa boleng ba bophelo ba batho ba nang le mafu a tebileng.
Do not leave the medication in a hot car during summer.,U se ke ua siea moriana koloing e chesang nakong ea lehlabula.,U se ke ua tlohela meriana ka koloing e chesang nakong ea lehlabula.
I need to know the clinic's appointment hours.,Ke hloka ho tseba linako tsa li-appointment tsa kliniki.,Ke hloka ho tseba linako tsa ho ea tleliniking.
I was told I may have postnatal depression.,Nkae ilo ilo nne nkaitshele hore ke ka na bohloko ba morao-matlafatsi.,Ke ile ka bolelloa hore ke ka 'na ka ba le khatello ea maikutlo ka mor'a hore ke tsoaloe.
Regular monitoring helps your doctor know if your ART is working.,Tlhahlobo ea madi ea ho beha leihlo lebelo la HIV (HIV monitoring) hangata e etsoa kamora likhoeli tse ling le tse ling tse tharo ho isa ho tse tšeletseng.,Tlhokomelo ea kamehla e thusa ngaka ea hao ho tseba hore na ART ea hao e sebetsa.
People who inject drugs living with HIV should receive ART alongside addiction treatment.,Batho ba hlabang ka lithethefatsi (people who inject drugs) ba phelang le HIV ba lokela ho fumana phekolo ea lithibela-mafofore (ART) mmoho le phekolo ea ho tlohela bokhoba ba lino le lithethefatsi (addiction treatment).,Batho ba nang le tšoaetso ea HIV ba lokelang ho fuoa ART hammoho le phekolo ea ho lemalla lithethefatsi.
HIV testing is confidential and your results will not be shared without your consent.,Ho hlahlobeloa HIV ho boloka sephiri mme liphetho tsa hau ha li na ho abeloa ntle le tumello ea hau.,Tlhahlobo ea HIV ke ea lekunutu 'me liphello tsa hao li ke ke tsa arolelanoa ntle le tumello ea hao.
I would like to be referred to a closer clinic.,Ke rata ho romeloa klinikeng e haufi haholo.,Nka rata ho fetisetsoa tleliniking e haufi.
I have to go back to the clinic for my test results.,Ke tlameha ho khutla klinikeng bakeng sa liphetho tsa tlhahlobo ea ka.,Ke lokela ho khutlela tleliniking bakeng sa liphetho tsa liteko tsa ka.
Talking to someone you trust can help relieve stress.,Ho bua le motho eo o mo tšepang ho ka thusa ho fokotsa khatello ea maikutlo.,Ho bua le motho eo u mo tšepang ho ka thusa ho imolla khatello ea maikutlo.
I have been passing stools that are very pale.,Ke ntse ke fetisa manyelo a pheelang haholo.,Ke 'nile ka feta setulong se khanyang haholo.
